"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"aprender";1,31906205180196;1,02946914222826;-1,08070937537318;0,662213109064445;0,516827817485596;-0,542552122156275;0,52556981295156;0,266221945241754;0,208208241806657;0,00287069033556654;0,00174856814197672;0,00192696458432483;0,00164989343581051;0,928045481381776;0,00142100110522603
"plata";0,668441233869022;0,484017109521519;-0,552231985415989;0,673154190690273;0,487429753180137;-0,55612558947676;0,543823299546424;0,237120989770206;0,219055710683341;0,000737194962836964;0,000386524762745061;0,000503151775599312;0,00164989343581051;0,462331588746188;0,000352665543473179
"partido";-0,617009467306769;-1,54253822880817;-1,21625393532747;-0,29966754273453;-0,749175928561876;-0,590707027125037;0,117773879692737;0,612145164760808;0,270080955546436;0,000587389860478341;0,00367125593612109;0,00228239762514023;0,00154291780156843;0,917036406542216;0,00129752562929013
"verdad";-0,468157540015413;0,276894608699727;0,202308621716771;-0,80672358375052;0,47714154308844;0,348615844849169;0,713713039849256;0,207627948016164;0,0786590121345915;0,000384153828692587;0,000134384791205333;7,17381055739252e-05;0,00175275462258173;0,282650297726251;0,000140029653986564
"casa";-1,36236977333194;1,15174118846695;0,889781504289241;-0,683386349147691;0,577731700567961;0,446328556063179;0,541686716600104;0,321947612598837;0,136365670801071;0,00322265616590998;0,00230321123128605;0,00137464551940104;0,00173629683269834;0,94414815146268;0,00154776231193349
"tan";0,59686410569827;-0,382739291202551;0,23519829037259;0,798982392410892;-0,512347704670406;0,314844352238267;0,69754448121375;0,238530712211495;0,0639248065747845;0,000555522503124129;0,000228431940235419;8,62619066596355e-05;0,00155937559145182;0,364509414024358;0,00020718973278224
"ejemplo";-0,859722974859457;-0,667378826137802;-0,698676005829284;-0,664743172541667;-0,516021475692795;-0,54022065045967;0,528848855820778;0,265018734789916;0,206132409389286;0,00125292710236948;0,000755011532803475;0,000827485506373623;0,00169515235798985;0,602992608929751;0,000616357543866799
"pobre";1,07916893902352;0,498441174665884;-0,445405899719592;0,850125331746714;0,392651654107532;-0,350872624821542;0,782509853720709;0,13882126208447;0,0786688841947917;0,00174418191625843;0,000372083770460075;0,000297115176731265;0,00149765887938909;0,622248373308161;0,000579883091525116
"pueblo";0,0933503705385191;-0,0173388963432422;0,202579815477769;0,417252333788238;-0,077500441860002;0,90548007789226;0,262603562444422;0,00753405258315988;0,729862384972439;1,36247082374446e-05;4,70043465157396e-07;6,4163413604102e-05;0,00156349003892267;0,0929148179054919;1,34978649590451e-05
"cultura";1,39399251022786;-1,25293715289374;1,3618855345832;0,601675495648784;-0,540793136945114;0,587817472493676;0,447402473077243;0,300575307349958;0,252022219572835;0,00309416427707972;0,0024996606980665;0,00295327372185427;0,00159229117121862;1,06299321091776;0,00179921668004805
"terminar";-0,0520266743808262;-0,0230348667726374;-0,0478680781805803;-0,699702239164017;-0,309793928815853;-0,643773638927301;0,601461965065304;0,0980493393152302;0,300488695619459;4,34338434033113e-06;8,51427236082597e-07;3,67678396021262e-06;0,00160463451363116;0,0342169442561678;1,87870492396329e-06
"salir";-1,14152396447294;0,613866533457268;0,45454739518552;-0,831101465626664;0,446933565596282;0,330939181386255;0,749588232900977;0,180267665208263;0,0701441018907711;0,00208560082457758;0,000603127371072349;0,000330688787755434;0,00160052006616032;0,672500936893315;0,000723847220022582
"acuerdo";-0,822611799486234;-1,11717146343599;-1,21867889843304;-0,445473150697232;-0,604987543330511;-0,659957380762421;0,261158698374454;0,400563634358526;0,338277667267002;0,00109140881841446;0,00201296978702204;0,00239538966670711;0,00161286340857286;0,821035484998477;0,00108723004250085
"tratar";0,556929999714025;-0,516821585680905;0,651118939899509;0,556587400404912;-0,516503659337774;0,650718399617831;0,396382500754676;0,283864943942356;0,319752555303004;0,000496434948784138;0,000427506194319623;0,000678549883336857;0,00160052006616032;0,451193273364892;0,000325826464548535
